recommendationid,review,sentiment,emotion
180505549,Good game,"[{'label': '4 stars', 'score': 0.5576134324073792}]","[{'label': 'joy', 'score': 0.5206969976425171}]"
180502707,Great game,"[{'label': '5 stars', 'score': 0.6704409122467041}]","[{'label': 'joy', 'score': 0.8924630880355835}]"
180501125,great,"[{'label': '5 stars', 'score': 0.7410829067230225}]","[{'label': 'joy', 'score': 0.6147463917732239}]"
180499544,"I would describe ""Diplomacy is Not an Option"" as a more intense Stronghold. Build a castle, expect a raid, watch it intensify. If you like the big sieges from Lord of the Rings than you'll probably like this.","[{'label': '3 stars', 'score': 0.47476136684417725}]","[{'label': 'neutral', 'score': 0.6695506572723389}]"
180496727,Lovely game with a distinctive art style and a great sense of humor.,"[{'label': '5 stars', 'score': 0.5634801983833313}]","[{'label': 'joy', 'score': 0.9659841060638428}]"
180491037,fun to play for hours and hours,"[{'label': '4 stars', 'score': 0.5474468469619751}]","[{'label': 'joy', 'score': 0.8949170708656311}]"
180486542,Trebuchet,"[{'label': '3 stars', 'score': 0.2567009925842285}]","[{'label': 'neutral', 'score': 0.8717515468597412}]"
180480035,democracy is not a option is a great tower defense/story game it is exactly what you look for,"[{'label': '5 stars', 'score': 0.6686777472496033}]","[{'label': 'neutral', 'score': 0.8937979936599731}]"
180479085,this game makes me wonder if i am a masochist,"[{'label': '1 star', 'score': 0.5026060938835144}]","[{'label': 'surprise', 'score': 0.9604045152664185}]"
180468857,Yes,"[{'label': '5 stars', 'score': 0.37907874584198}]","[{'label': 'neutral', 'score': 0.9247939586639404}]"
180466821,on of best rts,"[{'label': '5 stars', 'score': 0.7949057221412659}]","[{'label': 'neutral', 'score': 0.6299867033958435}]"
180462174,"Good Game. Although, the difficulty is a bit tricky as Walk in the Park still a bit challenging and Up for a Challenge is outright hard. But all things considered, it IS a Fun game to play (if you have a lot of free time) that you can optimize your tactic in both defense and offense with quite fast phasing (when familiar with in-game resources & techs). So, I would recommend this for those who look for a game with such destruction and large horde of enemies.","[{'label': '4 stars', 'score': 0.7839913368225098}]","[{'label': 'joy', 'score': 0.719284176826477}]"
180460472,An unforgiving and overwhelming RTS not for the faint of heart. Strategize and plan for victory to overcome the odds stacked against you. 10/10 Diplomacy = NO,"[{'label': '1 star', 'score': 0.5590777397155762}]","[{'label': 'anger', 'score': 0.731484591960907}]"
180447146,"A little Green slime made this sound like fun, i have been repeatedly beaten to death by angry mobs who display an unnerving aptitude towards tearing down stone walls with wooden spoons. Lovely game, I'm just coping and seething.","[{'label': '4 stars', 'score': 0.529105544090271}]","[{'label': 'sadness', 'score': 0.3198157250881195}]"
180445575,Fun and charming game; hits that spot of those old coin pusher games. Recommend a lot.,"[{'label': '5 stars', 'score': 0.6156796216964722}]","[{'label': 'joy', 'score': 0.9264326691627502}]"
180420629,10/10,"[{'label': '5 stars', 'score': 0.8239476084709167}]","[{'label': 'neutral', 'score': 0.5389984250068665}]"
180401536,"I am not good enough for the game, but I love it.","[{'label': '4 stars', 'score': 0.5094358921051025}]","[{'label': 'joy', 'score': 0.9430211782455444}]"
180396656,"An amazing mix of RTS, city building and tower defense gameplay where you have to manage your economy, plan out your limited city space between farms, houses and military buildings and defending yourself from never-ending waves of attacks all the while trying to find the time to send out scout parties to take out enemy camps and find the much needed resource drops around the map. But the thing that surprised me the most is how invested I was in the narrative. While the plot is basic, its delivery is hilarious and never fails to get a laugh out of me to the point that I find myself looking forward to the next cutscene straight away.","[{'label': '4 stars', 'score': 0.652438223361969}]","[{'label': 'surprise', 'score': 0.9178980588912964}]"
180395587,ну что сказать для нас это хорошо,"[{'label': '4 stars', 'score': 0.4340694844722748}]","[{'label': 'neutral', 'score': 0.45571258664131165}]"
180391654,Very fun game definitely worth the money.,"[{'label': '5 stars', 'score': 0.6109463572502136}]","[{'label': 'joy', 'score': 0.985055685043335}]"
180354914,"Verily, I did partake in the noble pastime of Game X, and by my troth, what mirth it brought! Ne'er hath such merriment been mine as when I did mete out justice most swift, reminding yon unruly peasants of their proper station. With sword in hand and cunning wit, I did lay waste to their folly, and lo, how they did scatter like chaff before the wind! A most joyous revel, indeed, and one I shan't soon forget.","[{'label': '5 stars', 'score': 0.8830927014350891}]","[{'label': 'joy', 'score': 0.9896586537361145}]"
180348697,fantastic game love love love!,"[{'label': '5 stars', 'score': 0.9031489491462708}]","[{'label': 'joy', 'score': 0.9587527513504028}]"
180342604,Fun game to kill time,"[{'label': '4 stars', 'score': 0.5161077380180359}]","[{'label': 'joy', 'score': 0.9437443017959595}]"
180340605,Fun.,"[{'label': '4 stars', 'score': 0.47148561477661133}]","[{'label': 'joy', 'score': 0.8178029656410217}]"
180331618,"This game is FREAKING hard man, im not gonna lie. But its really really fun, especially the humor and little attentions to detail. I played this at the Gamescom for a bit and do not regret buying it afterwards.","[{'label': '4 stars', 'score': 0.5572357773780823}]","[{'label': 'joy', 'score': 0.9023043513298035}]"
180329834,Its literally just midevil They Are Billions...,"[{'label': '1 star', 'score': 0.5623081922531128}]","[{'label': 'neutral', 'score': 0.9250974655151367}]"
180326984,CATA OP,"[{'label': '4 stars', 'score': 0.27964144945144653}]","[{'label': 'neutral', 'score': 0.9205647110939026}]"
180311627,Best Strategy War game I haven't played for a while. it is quite difficult game but so much fun to play.,"[{'label': '5 stars', 'score': 0.7398133277893066}]","[{'label': 'joy', 'score': 0.9622645974159241}]"
180290449,Grand time!,"[{'label': '5 stars', 'score': 0.7292859554290771}]","[{'label': 'joy', 'score': 0.5961443185806274}]"
180272788,"Lots of fun, Love throwing armies at each other","[{'label': '5 stars', 'score': 0.6100476384162903}]","[{'label': 'joy', 'score': 0.9816299676895142}]"
180269692,A difficult but good game.,"[{'label': '4 stars', 'score': 0.5920886397361755}]","[{'label': 'joy', 'score': 0.7787253856658936}]"
180227537,"It's fun and challenging, and I personally enjoy the bit of dry humor in the cutscenes.","[{'label': '4 stars', 'score': 0.6654474139213562}]","[{'label': 'joy', 'score': 0.9866076707839966}]"
180222204,"Thank you for continuing to develop this game! It's a ton of fun, and I'm looking forward to even more play-ability!","[{'label': '5 stars', 'score': 0.7991917133331299}]","[{'label': 'joy', 'score': 0.9852002859115601}]"
180216419,O no. Unwashed peasants.,"[{'label': '1 star', 'score': 0.793464183807373}]","[{'label': 'disgust', 'score': 0.8877553343772888}]"
180207867,"(TL;DR) Fun and rewarding game that is a great in the horde survival genre. --- Watched some gameplay of this a long time ago and thought it looked fun, something like They Are Billions. I was right with what I thought, the game is a blast to play and pretty easy to pick up, coming from someone who doesn't frequent the genre very often. The difficulty was pretty extreme early on but now that the game is fully out, it seems to be a lot better. The building is fun, exploring and fighting with your troops is rewarding, the challenge modes and infinite mode are awesome, the campaign (from what I played so far) is good, and lots more to love. The whole game is fun for anyone who's looking for a game to occupy the horde survival/RTS spot in their library. --- Would heartily recommend buying it or waiting for a sale for those who're unsure.","[{'label': '4 stars', 'score': 0.7208799123764038}]","[{'label': 'joy', 'score': 0.9212326407432556}]"
180205402,You play as the Argentine state trying to collect taxes everywhere but the people rebel against you,"[{'label': '1 star', 'score': 0.24809210002422333}]","[{'label': 'anger', 'score': 0.5534207820892334}]"
180191902,"This is a simple game, which can make it enjoyable. But there doesn't seem like there's much fluidity or flexibility in terms of strategy. I also feel the game is unbalanced. Playing on Endless, the difficulty ramps astronomically, and there's really no way to tell what you're in for. But the worst part is not that -- its the irritation of having dead bodies returning from the grave to attack your buildings, or the random single enemy that comes out of nowhere. Because the sprites are so small, it can be very difficult to tell where you're being attacked Overall, I just didn't find it very enjoyable, even though I think a lot of the elements are here. Needs more work imo.","[{'label': '3 stars', 'score': 0.7102015018463135}]","[{'label': 'disgust', 'score': 0.6900835037231445}]"
180153421,"fun, modern version of TAB. Great little cutscenes and the choices between missions feel impactful. If you loved TAB, you will likely enjoy this too!","[{'label': '4 stars', 'score': 0.544405996799469}]","[{'label': 'joy', 'score': 0.9762068390846252}]"
180153342,hard asf,"[{'label': '2 stars', 'score': 0.34211936593055725}]","[{'label': 'neutral', 'score': 0.7181600332260132}]"
180149278,👍,"[{'label': '5 stars', 'score': 0.3085777759552002}]","[{'label': 'neutral', 'score': 0.6920446753501892}]"
180148328,Best Game You Suck At ;),"[{'label': '5 stars', 'score': 0.928901731967926}]","[{'label': 'disgust', 'score': 0.5142651200294495}]"
180145679,Great!,"[{'label': '5 stars', 'score': 0.8129657506942749}]","[{'label': 'joy', 'score': 0.9708425998687744}]"
180140039,AOE 2 meets Roblox (kinda). Fun and can be really tough on the hardest setting,"[{'label': '4 stars', 'score': 0.5125495195388794}]","[{'label': 'joy', 'score': 0.9625227451324463}]"
180127803,Fun little city builder/tower defense game that you can get lost in for a while and just turn your brain off.,"[{'label': '4 stars', 'score': 0.6268827319145203}]","[{'label': 'neutral', 'score': 0.647270917892456}]"
180125488,"very fun and relaxing game, recommend.","[{'label': '5 stars', 'score': 0.5902270078659058}]","[{'label': 'joy', 'score': 0.9838378429412842}]"
180121880,Steep learning curve but really satisfying !,"[{'label': '4 stars', 'score': 0.6426612138748169}]","[{'label': 'joy', 'score': 0.9742729663848877}]"
180121691,Decent strategy game,"[{'label': '3 stars', 'score': 0.5018653869628906}]","[{'label': 'neutral', 'score': 0.9006125330924988}]"
180097572,"Fun game. If you liked Stronghold and games like that, this might be for you.","[{'label': '4 stars', 'score': 0.6437751054763794}]","[{'label': 'joy', 'score': 0.8715980052947998}]"
180095646,"Wonderfully minimalist but beautiful strategy game where you balance resource gathering, with setting up defenses and sending out raiding parties to slowly capture every corner of the map. The campaign has some very cute and funny cut-scenes.","[{'label': '4 stars', 'score': 0.6883628368377686}]","[{'label': 'joy', 'score': 0.8765228986740112}]"
180094647,Base defense game that just scratches the itch. I wont tell you where,"[{'label': '2 stars', 'score': 0.37527868151664734}]","[{'label': 'neutral', 'score': 0.6434414386749268}]"
180092254,As someone with a fondness for stronghold this is amazing,"[{'label': '5 stars', 'score': 0.7840362787246704}]","[{'label': 'surprise', 'score': 0.6567524671554565}]"
180087090,They should have just been rich,"[{'label': '3 stars', 'score': 0.367240846157074}]","[{'label': 'neutral', 'score': 0.9297673106193542}]"
180082507,"I really enjoyed playing this on my second walkthough now, enjoying the challenge.","[{'label': '5 stars', 'score': 0.4998991787433624}]","[{'label': 'joy', 'score': 0.9934006929397583}]"
180076488,Fun game. I wish they would work on the steam deck controls.,"[{'label': '4 stars', 'score': 0.6716912984848022}]","[{'label': 'sadness', 'score': 0.3697167634963989}]"
180066866,Diplomacy is Not an Option,"[{'label': '1 star', 'score': 0.41669124364852905}]","[{'label': 'neutral', 'score': 0.4983789026737213}]"
180062401,"A flawless combination of all my favorite parts of multiple city building genres: city building, RTS, tower defense, branching campaign(s), sandbox mode, challenge mode and even an endless mode! Don't let the simplicity fool you, this game gets exponentially harder with each bump in difficulty and tests your understanding of mechanics and strategy at every turn. I love this game; all I want to do when I wake up each day is play this game!","[{'label': '5 stars', 'score': 0.9552465081214905}]","[{'label': 'joy', 'score': 0.8178912997245789}]"
180052474,Fire game but extremely difficult if you aren't used to it.,"[{'label': '3 stars', 'score': 0.5313377380371094}]","[{'label': 'disgust', 'score': 0.24952463805675507}]"
180025514,"I strongly recommend this game to anyone who is interested in tower defense games and city builders. Missions are challenging, Campaign story is fun, Unique research & spells ,High Quality voice acting, Diverse enemy types. Felt like Stronghold and They are billions mix.","[{'label': '5 stars', 'score': 0.6850941777229309}]","[{'label': 'joy', 'score': 0.6479313969612122}]"
179980139,"I'm having a lot of fun with the game. The campaign is challenging even on the easier difficulty. The game play loop is repetitive but engaging. It always feels like a new challenge every time an assault begins. Currently I'm at about 20 hours, and I haven't gotten bored yet. It's very reminiscent of Age of Empires, but not as deep as far as city building. The building selections are limited and combat units are lacking in variety. It's worth the price on sale, but needs some additional content and QOL features, such as making it easier to find the zombie within your city walls that is very slowly attacking, currently a prompt flashes on the map, but depending on city size and density it may still be a challenge to even see the attacker. 7.5/10","[{'label': '4 stars', 'score': 0.7237951159477234}]","[{'label': 'neutral', 'score': 0.6062984466552734}]"
179979832,Peasants genocide simulator,"[{'label': '4 stars', 'score': 0.25531795620918274}]","[{'label': 'fear', 'score': 0.3987007141113281}]"
179979584,Really fun game to play on any difficulty. Remember to do manual saves if you want to experience every ending.,"[{'label': '5 stars', 'score': 0.5171170234680176}]","[{'label': 'joy', 'score': 0.9392092823982239}]"
179965414,Gives pretty strong Stronghold vibe.,"[{'label': '4 stars', 'score': 0.6564525961875916}]","[{'label': 'neutral', 'score': 0.7760182023048401}]"
179952753,is very good. maybe overpriced. but on sale is great,"[{'label': '4 stars', 'score': 0.7089972496032715}]","[{'label': 'sadness', 'score': 0.5272871851921082}]"
179951761,"I like the controlling system in this game it's very intuitive. Decided to start from Endless mode to learn the game, so far enjoying it.","[{'label': '5 stars', 'score': 0.5011788606643677}]","[{'label': 'joy', 'score': 0.9861369132995605}]"
179946290,"Fun base building tower defense. Didn't expect it to have a campaign, much less different choices and factions, very pleasantly surprised! It also having a pause button was great, meant I could play it whenever.","[{'label': '4 stars', 'score': 0.6457159519195557}]","[{'label': 'surprise', 'score': 0.9491451978683472}]"
179939176,Будем взрываться,"[{'label': '1 star', 'score': 0.49977394938468933}]","[{'label': 'neutral', 'score': 0.6063044667243958}]"
179924880,"I mean, is pretty fun, unique and overall enjoyable. I suck at it though. STILL FUN","[{'label': '4 stars', 'score': 0.574951708316803}]","[{'label': 'joy', 'score': 0.8984280824661255}]"
179895831,Great,"[{'label': '5 stars', 'score': 0.7410829067230225}]","[{'label': 'neutral', 'score': 0.4801534414291382}]"
179887181,"It's a fun game and well built... I want to love it. But I think there are some balancing issues personally. Even on the easiest difficulty I cant get past level 3 in the campaign. I want to play, but it's wearing me out. Re-balance the difficulty levels, pleeease. Voting negative because it's kind of unplayable for me.","[{'label': '3 stars', 'score': 0.5515192747116089}]","[{'label': 'joy', 'score': 0.8025318384170532}]"
179880569,Funishment. The story dialog is so slow compared to how how fast story level one to story level two open a can of whoop-@ss. Lot of grinding hours and can't recommend for the price. It should be free-to-play.,"[{'label': '2 stars', 'score': 0.5444377064704895}]","[{'label': 'surprise', 'score': 0.7615556716918945}]"
179877842,"Hard as crap, but fun!","[{'label': '4 stars', 'score': 0.4470578134059906}]","[{'label': 'joy', 'score': 0.8673620820045471}]"
179871230,"Think Age of empires, meets tower defense, meets Rampart from gameboy. FUN!","[{'label': '5 stars', 'score': 0.5135638117790222}]","[{'label': 'joy', 'score': 0.804719090461731}]"
179865925,"If you want a cheap RTS with graphics that anyone can play, Diplomacy is Not an Option is a good choice for you. Good: You have options like factions, characters are quite friendly and fun. Bad: Difficulty is sometimes uneven, making you struggle to build faster, game speed is very slow, 1 match takes 2-3 hours to complete the army. I will still praise it because the creator of the game is very creative.","[{'label': '3 stars', 'score': 0.5483484864234924}]","[{'label': 'neutral', 'score': 0.8925274014472961}]"
179863582,"This is just not my style of game. Everything has to be perfect, optimized, and fast for you to stand a chance as the game progresses. Houses take up a ton of space that you don't have to have people to work with. Then there's the pacing. You're CONSTANTLY being attacked.","[{'label': '2 stars', 'score': 0.5101086497306824}]","[{'label': 'neutral', 'score': 0.6753655672073364}]"
179861535,"Honestly one of the best rts's I've played, made with a lot of love and charm with fun and engaging mechanics and a real challenge that keeps things fresh. The undead being metal af is icing on the cake!","[{'label': '5 stars', 'score': 0.8655998110771179}]","[{'label': 'joy', 'score': 0.920245349407196}]"
179858798,"What a shame. I immediately liked the style and the idea of the game when I saw it in my queue. I played Northgard to death and thought that this would be right up my alley. And it is. Or rather it was. This game is not for casuals or anyone not willing to invest hours per mission and optimize. The difficulty on ""A walk in the park"" is brutal. The missions require extensive micro play and need to be played optimally: Build order, rushing of specific upgrades, spamming specific units, doing specific tasks in order. If you imagined a quaint army builder / tower defense were half the joy is to watch the epic battles, prepare for disappointment. You'll be busy snowballing your economy to try to stay ahead of the difficulty curv..cliff. There is a reason why the achievements have such low completion rates. The tutorial alone will weed most people out. I understand that once somebody figures out the meta, the missions become trivial. Herein lies the problem of the game. It is either too hard or too easy with a hard lean towards the former. I hated multiplayer in Northgard - because you had to rush, had to do things in one specific optimal way or get stomped by the opponents. This game managed to recreate this feeling for pve - very successfully.","[{'label': '2 stars', 'score': 0.4486108422279358}]","[{'label': 'disgust', 'score': 0.7729010581970215}]"
179854899,Pupulta the horde is coming,"[{'label': '1 star', 'score': 0.2746787965297699}]","[{'label': 'neutral', 'score': 0.8360042572021484}]"
179839219,"I *would* recommend the game, but it's a very marginal pass. They game becomes tedious fast, and i'm not even sure i'm halfway through. It's cutesy and fun as a colony-building, resource managing game, but it's also easy to lose track of your workforce because halfway through a map they start sucking resources dry really fast. That's one of my main problems with the game; it's GREAT at first when the numbers are small, but then you are asked to macro manage with micromanaging mechanics. That's not a lot of fun The same can be said about the fighting. It's fun and quantifiable at first but then the enemies start zerging you, and it's hard to keep track of all the variables or have proper management of the situation set up. On top of that, there's really no new unlockables. There *is* the option to change factions multiple times throughout the game which also branches out the storyline, but there are no ""upgrades"". Other similar strategy games (like Kingdom Rush, or TAB) have progress upgrades that unlock new/stronger equipment in later stages. Moreover, you do not have access to all of your assets from the beginning; the games limit you to certain units /towers at first which become stronger and more specialized as the game goes on. Here... neither of these happen. All your assets are available from mission one, and achievable from as soon as mission two. That stagnates the game, whose hours-long missions end up feeling tedious and tiresome. I like what is going on at first and I admire the effort that went into the branching campaigns. The scenes in-between missions are also very fun and give the game its own unique character. That said, i do feel tired after having played the missions; the game is a near-hit for me. I suppose i'm recommending it for what could have been. Lastly, highly addictive. Play at a risk","[{'label': '2 stars', 'score': 0.5248652100563049}]","[{'label': 'neutral', 'score': 0.3360101580619812}]"
179828732,"This game could be a 5 out of 5 if the difficulty was toned down. You should not be losing consistently on the easiest setting. I read guides, tips, etc. and watched videos on how to best succeed and it's gotten me farther than I would have gone otherwise. But just when I think I'm winning a level an absurd number of enemies is thrown at my base. This doesn't feel just like a ""tough"" game, it feels imbalanced. The average person will probably quit this a couple levels in, but for some reason I keep trying despite constant failures.","[{'label': '3 stars', 'score': 0.5149762034416199}]","[{'label': 'neutral', 'score': 0.6630420088768005}]"
179803369,"Game fun, Runs great, Game hard.","[{'label': '4 stars', 'score': 0.5222784876823425}]","[{'label': 'joy', 'score': 0.8255302309989929}]"
179801148,Fun for someone new to real time strategy games,"[{'label': '4 stars', 'score': 0.5572812557220459}]","[{'label': 'joy', 'score': 0.9299757480621338}]"
179781986,"This might be the best game for my OCD mildly autistic play style. The perfect ""i wanna play something fun and challenging while doing something else"" game. The hours played speak for themselves.","[{'label': '5 stars', 'score': 0.48993635177612305}]","[{'label': 'joy', 'score': 0.845072329044342}]"
179777294,"A proper RTS that juggles base building, economy, and defense.","[{'label': '4 stars', 'score': 0.46464860439300537}]","[{'label': 'neutral', 'score': 0.9623481631278992}]"
179776386,"Hard, hectic and fun","[{'label': '5 stars', 'score': 0.4991719126701355}]","[{'label': 'joy', 'score': 0.8382899165153503}]"
179769158,"It's a lot easier than They are Billions and more straight-forward than Cataclismo, but the game scratches the RTS / tower defense itch well and has a great sense of humor. Highly recommend!","[{'label': '5 stars', 'score': 0.6177186965942383}]","[{'label': 'joy', 'score': 0.9172914028167725}]"
179759984,"I'd love to love this. But with 5 difficulty settings to choose from, the easiest one should be... easy. Casual. I just want to turtle through the game and enjoy the story. And if I feel I'm having too easy on a ride, I have 4 difficulty settings higher to find the one that suits. Not so here.","[{'label': '4 stars', 'score': 0.5392321944236755}]","[{'label': 'joy', 'score': 0.6701284050941467}]"
179757755,Good Game so far ill update the review when i reached a reasonable amount of hours but if you re a interested in the rts genre id definitely recommend this game,"[{'label': '4 stars', 'score': 0.66352379322052}]","[{'label': 'joy', 'score': 0.9813106060028076}]"
179750210,"Its dumb fun, story is pretty much just humor and its really funny to me so It gets a pass","[{'label': '2 stars', 'score': 0.4552474915981293}]","[{'label': 'joy', 'score': 0.9262923002243042}]"
179740359,10 out of 10 - great game,"[{'label': '5 stars', 'score': 0.9627337455749512}]","[{'label': 'joy', 'score': 0.9330991506576538}]"
179730225,"Great base building game, very entertaining","[{'label': '5 stars', 'score': 0.6571651101112366}]","[{'label': 'joy', 'score': 0.9716356992721558}]"
179713045,"Its hard, but its fun I've retried one mission many times and still can't get it - still having fun though.","[{'label': '3 stars', 'score': 0.5904452204704285}]","[{'label': 'joy', 'score': 0.959656834602356}]"
179712805,"Great game, addictive!","[{'label': '5 stars', 'score': 0.7905659675598145}]","[{'label': 'joy', 'score': 0.9136759638786316}]"
179704761,Age of Empires Tower Defense basically. With fun cut scenes. Awesome game and exactly what I was looking for.,"[{'label': '5 stars', 'score': 0.723467230796814}]","[{'label': 'joy', 'score': 0.9283080101013184}]"
179700917,"For a game that's been in development and released after the peak of RTS and tower defense games, this one is missing so many basic functions and the balancing is awful. Going between the difficulties has the steepest curve of hardness increase I've ever seen. Resource production seems to follow that trend as well, since the better options of gathering are overly massive. The size of things wouldn't matter if you could zone the spaces like every other strategy game, but no, this game is different. Altogether it's not a bad game, but unless you're a hardcore enjoyer of these titles, you wont stay long since lacking quality of life mechanics are a feature, not a mistake.","[{'label': '2 stars', 'score': 0.5728775858879089}]","[{'label': 'disgust', 'score': 0.95035320520401}]"
179696573,its fun,"[{'label': '4 stars', 'score': 0.45855575799942017}]","[{'label': 'joy', 'score': 0.9708875417709351}]"
179682857,"Very fun strategy game. If you enjoyed the title ""They are Millions"" then you will enjoy this game.","[{'label': '4 stars', 'score': 0.6535112857818604}]","[{'label': 'joy', 'score': 0.940718948841095}]"
179679514,"Tower defense with RTS , top","[{'label': '5 stars', 'score': 0.7939061522483826}]","[{'label': 'neutral', 'score': 0.8562366962432861}]"
179666367,"Pacing is a little slow but otherwise a cool combination of base building, tower defense, and real time strategy.","[{'label': '4 stars', 'score': 0.6693409085273743}]","[{'label': 'neutral', 'score': 0.8944053649902344}]"
179663188,Excellent,"[{'label': '5 stars', 'score': 0.8669129014015198}]","[{'label': 'neutral', 'score': 0.7960394620895386}]"
179652919,Very good.,"[{'label': '5 stars', 'score': 0.5556948184967041}]","[{'label': 'joy', 'score': 0.5970368981361389}]"
179644171,"Voiceover is in a strange pupulta language. Can't replay missions and make another choice, need to replay the whole campaign. Unbalanced and hard even on easy.","[{'label': '1 star', 'score': 0.4863715171813965}]","[{'label': 'disgust', 'score': 0.7274664044380188}]"
179634893,"""The new starvation diet is really taking off sir! Everyone is not eating.""","[{'label': '1 star', 'score': 0.7770345211029053}]","[{'label': 'disgust', 'score': 0.37659338116645813}]"
179620320,Didnt expect to like an RTS Very polished despite early access Recommended!,"[{'label': '2 stars', 'score': 0.40109971165657043}]","[{'label': 'surprise', 'score': 0.8301705121994019}]"
179615158,very good,"[{'label': '5 stars', 'score': 0.5479445457458496}]","[{'label': 'joy', 'score': 0.9012637734413147}]"
179613855,"This game appears to be a base defender. Build walls, create troops, and fight bad guys. It's not. It's an economy/town builder that also has defense. Don't let the video fool you. You will spend more time figuring out lumber, berries, and resource management than you will fighting enemies.","[{'label': '3 stars', 'score': 0.26007145643234253}]","[{'label': 'neutral', 'score': 0.9129510521888733}]"
179612238,i loved this game one recomandation would be a mode where you are a god,"[{'label': '5 stars', 'score': 0.6100907325744629}]","[{'label': 'joy', 'score': 0.9846019744873047}]"
179608643,"This game is something else, its exquisite, its ...... the hardest shit I have ever played. If you're a masochist, this game is for you. Seven hours, seven hours of my life poured into one level, the dreaded harbour level, never before have I experienced such pain.... such loss. Five times my fiefdom fell. Five!!! That is not to say that I only played 6 attempts. No no no. It took me 37 tries to beat the harbour level. Only 6 of those I actually got a proper fortress up and running. This game is difficult, even on the easiest difficulty. Buyers beware. This game will suck you in. This game will consume your life. This game will consume your very soul. 10/10 would buy again","[{'label': '1 star', 'score': 0.9266274571418762}]","[{'label': 'disgust', 'score': 0.4255615472793579}]"
179589608,"Very nice rts game, I've enjoyed it a lot!","[{'label': '5 stars', 'score': 0.5541446805000305}]","[{'label': 'joy', 'score': 0.9882269501686096}]"
179589219,Fun and hard,"[{'label': '5 stars', 'score': 0.4523320496082306}]","[{'label': 'joy', 'score': 0.9239047765731812}]"
179582469,"I'm hooked. It took a bit, but once the difficulty started to increase I started to get addicted. I am a huge they are billions fan who loves the high difficulty rogue-like try to survive on a seed based map type of game, and this is definitely scratching the itch. I have had a much better experience with the campaign than endless mode in DNO, so I recommend starting there.","[{'label': '4 stars', 'score': 0.640831708908081}]","[{'label': 'neutral', 'score': 0.792486846446991}]"
179578339,If it had a map and scenario editor it would be perfect!,"[{'label': '4 stars', 'score': 0.40085604786872864}]","[{'label': 'neutral', 'score': 0.7972371578216553}]"
179569143,"If you like They are Billions, and are a fun of turtling in rts games, this great game is a must. It has the same difficulty curve of Tab without the nonsense of having Ironman mode always on. The only downside is that you'll have to focus on economy, rather than strictly on defense, for the early and mid game: if you wish to only defend, rather than build and micro intensively your city, your only choice is playing sandbox with your own rules.","[{'label': '4 stars', 'score': 0.6260437965393066}]","[{'label': 'neutral', 'score': 0.8579387664794922}]"
179562781,its really fun,"[{'label': '5 stars', 'score': 0.48657509684562683}]","[{'label': 'joy', 'score': 0.9861955642700195}]"
